"Taxon","longitude","latitude","uncertainty","year"
"Cyclamen hederifolium Aiton subsp. hederifolium",10.163184,42.763311,564.189583547756,2005
"Cyclamen hederifolium Aiton subsp. hederifolium",11.244596,43.099825,3989.42280401433,1996
"Arbutus unedo L.",10.475286,43.784231,1784.12411615277,1978
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.60391,43.330575,564.189583547756,2017
"Oenothera latipetala (Soldano) Soldano",10.593615,44.010372,1784.12411615277,1876
"Oenothera latipetala (Soldano) Soldano",9.91016,44.176466,1784.12411615277,1982
"Oenothera latipetala (Soldano) Soldano",9.927099,44.183481,1784.12411615277,1980
"Erica multiflora L. subsp. multiflora",10.990303,43.429667,1784.12411615277,2014
"Erica multiflora L. subsp. multiflora",11.145667,42.411119,1784.12411615277,1881
"Arbutus unedo L.",10.563737,43.296064,1784.12411615277,1993
"Hedera helix L. subsp. helix",10.60391,43.330575,564.189583547756,2017
"Hedera helix L. subsp. helix",10.876678,42.885977,3989.42280401433,1996
"Hedera helix L. subsp. helix",11.244596,43.099825,3989.42280401433,1996
"Hedera helix L. subsp. helix",11.040332,44.065715,1784.12411615277,2006
"Hedera helix L. subsp. helix",11.222879,43.137808,1784.12411615277,2006
"Hedera helix L. subsp. helix",11.227801,43.091836,1784.12411615277,2005
"Colchicum lusitanum Brot.",12.130727,43.569459,1784.12411615277,1954
"Calluna vulgaris (L.) Hull",11.07018,43.960612,564.189583547756,1907
"Euphorbia dendroides L.",10.392224,43.785146,1784.12411615277,2009
"Calluna vulgaris (L.) Hull",10.783828,43.988652,1784.12411615277,1961
"Calluna vulgaris (L.) Hull",10.800414,43.986415,1784.12411615277,1961
"Artemisia verlotiorum Lamotte",10.055378,44.05537,1784.12411615277,1934
"Smilax aspera L.",11.533203,42.588773,1784.12411615277,1996
"Euphorbia dendroides L.",10.446342,43.76122,1784.12411615277,2005
"Arbutus unedo L.",10.600192,43.538808,1784.12411615277,1908
"Arbutus unedo L.",10.389025,42.832324,1784.12411615277,1972
"Arbutus unedo L.",10.824029,43.548386,1784.12411615277,1928
"Colchicum lusitanum Brot.",10.622481,43.403106,1784.12411615277,2009
"Arbutus unedo L.",11.473733,43.669253,1784.12411615277,1966
"Calluna vulgaris (L.) Hull",11.618415,43.959033,1784.12411615277,1953
"Smilax aspera L.",10.60391,43.330575,564.189583547756,2017
"Arbutus unedo L.",10.15852,44.023897,1784.12411615277,1942
"Arbutus unedo L.",10.149156,44.032575,1784.12411615277,1942
"Arbutus unedo L.",10.159582,44.031246,1784.12411615277,1942
"Arbutus unedo L.",10.150391,44.034488,1784.12411615277,1942
"Arbutus unedo L.",10.155844,44.040749,1784.12411615277,1942
"Arbutus unedo L.",10.1770305633545,44.0577387977914,1784.12411615277,1942
"Arbutus unedo L.",10.104969,44.058867,1784.12411615277,1942
"Arbutus unedo L.",10.140666,44.067124,1784.12411615277,1942
"Arbutus unedo L.",10.102548,44.039949,1784.12411615277,1942
"Arbutus unedo L.",10.140428,44.031108,1784.12411615277,1942
"Arbutus unedo L.",10.11325,44.004153,1784.12411615277,1942
"Arbutus unedo L.",10.096601,44.078113,1784.12411615277,1942
"Arbutus unedo L.",10.067034,44.075569,1784.12411615277,1942
"Arbutus unedo L.",10.079073,44.103244,1784.12411615277,1942
"Arbutus unedo L.",10.0674247741699,44.1080493585569,1784.12411615277,1942
"Arbutus unedo L.",10.118288,44.078124,1784.12411615277,1942
"Calluna vulgaris (L.) Hull",10.139866,44.035236,3989.42280401433,1942
"Calluna vulgaris (L.) Hull",10.2202033996582,44.1016396072735,1784.12411615277,1942
"Calluna vulgaris (L.) Hull",10.178859,44.058398,1784.12411615277,1942
"Calluna vulgaris (L.) Hull",10.0300884246826,44.1259190324507,1784.12411615277,1942
"Calluna vulgaris (L.) Hull",9.991193,44.410382,1784.12411615277,1942
"Calluna vulgaris (L.) Hull",9.773349,44.342011,1784.12411615277,1942
"Hieracium sabaudum L.",11.076548,43.91797,1784.12411615277,1936
"Smilax aspera L.",11.378271,43.148646,1784.12411615277,2018
