"X","Taxon","longitude","latitude","uncertainty","year"
100,"Euphorbia dendroides L.",10.180278,44.019122,1784.12411615277,1983
101,"Sternbergia colchiciflora Waldst. & Kit.",11.129275,43.90027,1784.12411615277,2008
102,"Sternbergia colchiciflora Waldst. & Kit.",11.239236,43.844147,1784.12411615277,2008
103,"Colchicum lusitanum Brot.",10.608358,43.41774,1784.12411615277,2009
104,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.598089,43.447607,1784.12411615277,2009
105,"Smilax aspera L.",10.577532,43.328937,564.189583547756,2017
106,"Smilax aspera L.",10.629105,43.38666,1784.12411615277,2009
107,"Smilax aspera L.",10.4064626991749,43.45681690651,564.189583547756,2017
108,"Oxalis pes-caprae L.",9.83481060204053,43.0420543701851,1784.12411615277,2012
109,"Prospero autumnale (L.) Speta",10.4512,43.75822,1784.12411615277,2015
110,"Calluna vulgaris (L.) Hull",10.482421,43.790294,1784.12411615277,1978
111,"Calluna vulgaris (L.) Hull",11.222879,43.137808,1784.12411615277,2006
112,"Hieracium sabaudum L.",11.39169,42.889722,1784.12411615277,2000
113,"Arbutus unedo L.",10.7222861051559,43.7299642729665,564.189583547756,2017
114,"Prospero autumnale (L.) Speta",11.178384,43.158398,1784.12411615277,1985
115,"Spiranthes spiralis (L.) Chevall.",11.145667,42.411119,1784.12411615277,1992
116,"Spiranthes spiralis (L.) Chevall.",11.145667,42.411119,1784.12411615277,1871
